Name;Age;Points;Date;Rank;Birth_date;Turned_Pro;Weight;Height;Nationality;Birth_Country;Birth_City;Backhand;Strong_Hand
Roberto Bautista Agut;27;1510;2015-08-31;23;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Bernard Tomic;22;1465;2015-08-31;24;1992-10-21;2008;91;196;Australie;Germany;Stuttgart;Two_Handed;Right_Handed
Andreas Seppi;31;1430;2015-08-31;25;1984-02-21;2002;78;191;Italie;Italy;Bolzano;Two_Handed;Right_Handed
Tommy Robredo;33;1405;2015-08-31;26;1982-05-01;1998;75;180;Espagne;Spain;Hostalric;One_Handed;Right_Handed
Jeremy Chardy;28;1300;2015-08-31;27;1987-02-12;2005;75;188;France;France;Pau;Two_Handed;Right_Handed
Jack Sock;22;1250;2015-08-31;28;1992-09-24;2011;88;191;Etats-Unis;NE;Lincoln;Two_Handed;Right_Handed
Philipp Kohlschreiber;31;1230;2015-08-31;29;1983-10-16;2001;70;178;Allemagne;Germany;Augsburg;One_Handed;Right_Handed
Thomaz Bellucci;27;1190;2015-08-31;30;1987-12-30;2005;82;188;Bresil;Brazil;Tiete;Two_Handed;Left_Handed
Novak Djokovic;28;14865;2015-08-24;1;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Roger Federer;34;9065;2015-08-24;2;1981-08-08;1998;85;185;Suisse;Switzerland;Basel;One_Handed;Right_Handed
Andy Murray;28;8840;2015-08-24;3;1987-05-15;2005;82;191;Angleterre;Scotland;Glasgow;Two_Handed;Right_Handed
Kei Nishikori;25;6205;2015-08-24;4;1989-12-29;2007;73;178;Japon;Japan;Shimane;Two_Handed;Right_Handed
Stan Wawrinka;30;5710;2015-08-24;5;1985-03-28;2002;81;183;Suisse;Switzerland;Lausanne;One_Handed;Right_Handed
Tomas Berdych;29;5230;2015-08-24;6;1985-09-17;2002;91;196;R<e9>publique tch<e8>que;CZE;Valasske Mezirici;Two_Handed;Right_Handed
David Ferrer;33;3695;2015-08-24;7;1982-04-02;2000;73;175;Espagne;Spain;Javea;Two_Handed;Right_Handed
Rafael Nadal;29;3680;2015-08-24;8;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Marin Cilic;26;3550;2015-08-24;9;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Milos Raonic;24;2880;2015-08-24;10;1990-12-27;2008;98;196;Canada;Montenegro;Podgorica;Two_Handed;Right_Handed
Gilles Simon;30;2730;2015-08-24;11;1984-12-27;2002;70;183;France;France;Nice;Two_Handed;Right_Handed
Richard Gasquet;29;2240;2015-08-24;12;1986-06-18;2002;79;183;France;France;Beziers;One_Handed;Right_Handed
John Isner;30;2235;2015-08-24;13;1985-04-26;2007;108;208;Etats-Unis;NC;Greensboro;Two_Handed;Right_Handed
David Goffin;24;2130;2015-08-24;14;1990-12-07;2009;70;180;Belgique;Belgium;Rocourt;Two_Handed;Right_Handed
Kevin Anderson;29;2000;2015-08-24;15;1986-05-18;2007;94;203;Afrique du Sud;South Africa;Johannesburg;Two_Handed;Right_Handed
Gael Monfils;28;1850;2015-08-24;16;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
Grigor Dimitrov;24;1735;2015-08-24;17;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Feliciano Lopez;33;1665;2015-08-24;18;1981-09-20;1997;88;188;Espagne;Spain;Toledo;One_Handed;Left_Handed
Jo-Wilfried Tsonga;30;1655;2015-08-24;19;1985-04-17;2004;93;188;France;France;Le Mans;Two_Handed;Right_Handed
Dominic Thiem;21;1645;2015-08-24;20;1993-09-03;2011;79;185;Autriche;Austria;Wiener Neustadt;One_Handed;Right_Handed
Ivo Karlovic;36;1620;2015-08-24;21;1979-02-28;2000;104;211;Croatie;Croatia;Zagreb;One_Handed;Right_Handed
Viktor Troicki;29;1559;2015-08-24;22;1986-02-10;2006;86;193;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Roberto Bautista Agut;27;1510;2015-08-24;23;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Bernard Tomic;22;1465;2015-08-24;24;1992-10-21;2008;91;196;Australie;Germany;Stuttgart;Two_Handed;Right_Handed
Andreas Seppi;31;1430;2015-08-24;25;1984-02-21;2002;78;191;Italie;Italy;Bolzano;Two_Handed;Right_Handed
Tommy Robredo;33;1405;2015-08-24;26;1982-05-01;1998;75;180;Espagne;Spain;Hostalric;One_Handed;Right_Handed
Jeremy Chardy;28;1300;2015-08-24;27;1987-02-12;2005;75;188;France;France;Pau;Two_Handed;Right_Handed
Jack Sock;22;1250;2015-08-24;28;1992-09-24;2011;88;191;Etats-Unis;NE;Lincoln;Two_Handed;Right_Handed
Philipp Kohlschreiber;31;1230;2015-08-24;29;1983-10-16;2001;70;178;Allemagne;Germany;Augsburg;One_Handed;Right_Handed
Thomaz Bellucci;27;1190;2015-08-24;30;1987-12-30;2005;82;188;Bresil;Brazil;Tiete;Two_Handed;Left_Handed
Novak Djokovic;28;14265;2015-08-17;1;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Andy Murray;28;8660;2015-08-17;2;1987-05-15;2005;82;191;Angleterre;Scotland;Glasgow;Two_Handed;Right_Handed
Roger Federer;34;8065;2015-08-17;3;1981-08-08;1998;85;185;Suisse;Switzerland;Basel;One_Handed;Right_Handed
Kei Nishikori;25;6385;2015-08-17;4;1989-12-29;2007;73;178;Japon;Japan;Shimane;Two_Handed;Right_Handed
Stan Wawrinka;30;5575;2015-08-17;5;1985-03-28;2002;81;183;Suisse;Switzerland;Lausanne;One_Handed;Right_Handed
Tomas Berdych;29;5140;2015-08-17;6;1985-09-17;2002;91;196;R<e9>publique tch<e8>que;CZE;Valasske Mezirici;Two_Handed;Right_Handed
David Ferrer;33;3695;2015-08-17;7;1982-04-02;2000;73;175;Espagne;Spain;Javea;Two_Handed;Right_Handed
Rafael Nadal;29;3680;2015-08-17;8;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Marin Cilic;26;3505;2015-08-17;9;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Milos Raonic;24;2925;2015-08-17;10;1990-12-27;2008;98;196;Canada;Montenegro;Podgorica;Two_Handed;Right_Handed
Gilles Simon;30;2765;2015-08-17;11;1984-12-27;2002;70;183;France;France;Nice;Two_Handed;Right_Handed
John Isner;30;2270;2015-08-17;12;1985-04-26;2007;108;208;Etats-Unis;NC;Greensboro;Two_Handed;Right_Handed
Richard Gasquet;29;2105;2015-08-17;13;1986-06-18;2002;79;183;France;France;Beziers;One_Handed;Right_Handed
David Goffin;24;2090;2015-08-17;14;1990-12-07;2009;70;180;Belgique;Belgium;Rocourt;Two_Handed;Right_Handed
Kevin Anderson;29;1955;2015-08-17;15;1986-05-18;2007;94;203;Afrique du Sud;South Africa;Johannesburg;Two_Handed;Right_Handed
Gael Monfils;28;1930;2015-08-17;16;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
Grigor Dimitrov;24;1690;2015-08-17;17;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Dominic Thiem;21;1655;2015-08-17;18;1993-09-03;2011;79;185;Autriche;Austria;Wiener Neustadt;One_Handed;Right_Handed
Jo-Wilfried Tsonga;30;1645;2015-08-17;19;1985-04-17;2004;93;188;France;France;Le Mans;Two_Handed;Right_Handed
Viktor Troicki;29;1594;2015-08-17;20;1986-02-10;2006;86;193;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Ivo Karlovic;36;1575;2015-08-17;21;1979-02-28;2000;104;211;Croatie;Croatia;Zagreb;One_Handed;Right_Handed
Roberto Bautista Agut;27;1555;2015-08-17;22;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Feliciano Lopez;33;1530;2015-08-17;23;1981-09-20;1997;88;188;Espagne;Spain;Toledo;One_Handed;Left_Handed
Bernard Tomic;22;1465;2015-08-17;24;1992-10-21;2008;91;196;Australie;Germany;Stuttgart;Two_Handed;Right_Handed
Andreas Seppi;31;1430;2015-08-17;25;1984-02-21;2002;78;191;Italie;Italy;Bolzano;Two_Handed;Right_Handed
Tommy Robredo;33;1360;2015-08-17;26;1982-05-01;1998;75;180;Espagne;Spain;Hostalric;One_Handed;Right_Handed
Jeremy Chardy;28;1275;2015-08-17;27;1987-02-12;2005;75;188;France;France;Pau;Two_Handed;Right_Handed
Philipp Kohlschreiber;31;1265;2015-08-17;28;1983-10-16;2001;70;178;Allemagne;Germany;Augsburg;One_Handed;Right_Handed
Guillermo Garcia-Lopez;32;1235;2015-08-17;29;1983-06-04;2002;80;185;Espagne;Spain;La Roda (Albacete);One_Handed;Right_Handed
Jack Sock;22;1205;2015-08-17;30;1992-09-24;2011;88;191;Etats-Unis;NE;Lincoln;Two_Handed;Right_Handed
Novak Djokovic;28;13755;2015-08-10;1;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Roger Federer;34;9065;2015-08-10;2;1981-08-08;1998;85;185;Suisse;Switzerland;Basel;One_Handed;Right_Handed
Andy Murray;28;7840;2015-08-10;3;1987-05-15;2005;82;191;Angleterre;Scotland;Glasgow;Two_Handed;Right_Handed
Kei Nishikori;25;6025;2015-08-10;4;1989-12-29;2007;73;178;Japon;Japan;Shimane;Two_Handed;Right_Handed
Stan Wawrinka;30;5745;2015-08-10;5;1985-03-28;2002;81;183;Suisse;Switzerland;Lausanne;One_Handed;Right_Handed
Tomas Berdych;29;5140;2015-08-10;6;1985-09-17;2002;91;196;R<e9>publique tch<e8>que;CZE;Valasske Mezirici;Two_Handed;Right_Handed
David Ferrer;33;4295;2015-08-10;7;1982-04-02;2000;73;175;Espagne;Spain;Javea;Two_Handed;Right_Handed
Marin Cilic;26;3585;2015-08-10;8;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Rafael Nadal;29;3500;2015-08-10;9;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Milos Raonic;24;3275;2015-08-10;10;1990-12-27;2008;98;196;Canada;Montenegro;Podgorica;Two_Handed;Right_Handed
Gilles Simon;30;2765;2015-08-10;11;1984-12-27;2002;70;183;France;France;Nice;Two_Handed;Right_Handed
John Isner;30;2180;2015-08-10;12;1985-04-26;2007;108;208;Etats-Unis;NC;Greensboro;Two_Handed;Right_Handed
Richard Gasquet;29;2105;2015-08-10;13;1986-06-18;2002;79;183;France;France;Beziers;One_Handed;Right_Handed
David Goffin;24;2045;2015-08-10;14;1990-12-07;2009;70;180;Belgique;Belgium;Rocourt;Two_Handed;Right_Handed
Gael Monfils;28;1975;2015-08-10;15;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
Kevin Anderson;29;1955;2015-08-10;16;1986-05-18;2007;94;203;Afrique du Sud;South Africa;Johannesburg;Two_Handed;Right_Handed
Grigor Dimitrov;24;1655;2015-08-10;17;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Dominic Thiem;21;1655;2015-08-10;18;1993-09-03;2011;79;185;Autriche;Austria;Wiener Neustadt;One_Handed;Right_Handed
Viktor Troicki;29;1629;2015-08-10;19;1986-02-10;2006;86;193;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Roberto Bautista Agut;27;1555;2015-08-10;20;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Feliciano Lopez;33;1530;2015-08-10;21;1981-09-20;1997;88;188;Espagne;Spain;Toledo;One_Handed;Left_Handed
Tommy Robredo;33;1495;2015-08-10;22;1982-05-01;1998;75;180;Espagne;Spain;Hostalric;One_Handed;Right_Handed
Ivo Karlovic;36;1495;2015-08-10;23;1979-02-28;2000;104;211;Croatie;Croatia;Zagreb;One_Handed;Right_Handed
Jo-Wilfried Tsonga;30;1475;2015-08-10;24;1985-04-17;2004;93;188;France;France;Le Mans;Two_Handed;Right_Handed
Andreas Seppi;31;1465;2015-08-10;25;1984-02-21;2002;78;191;Italie;Italy;Bolzano;Two_Handed;Right_Handed
Bernard Tomic;22;1410;2015-08-10;26;1992-10-21;2008;91;196;Australie;Germany;Stuttgart;Two_Handed;Right_Handed
Fabio Fognini;28;1370;2015-08-10;27;1987-05-24;2004;79;178;Italie;Italy;Sanremo;Two_Handed;Right_Handed
Philipp Kohlschreiber;31;1265;2015-08-10;28;1983-10-16;2001;70;178;Allemagne;Germany;Augsburg;One_Handed;Right_Handed
Guillermo Garcia-Lopez;32;1245;2015-08-10;29;1983-06-04;2002;80;185;Espagne;Spain;La Roda (Albacete);One_Handed;Right_Handed
Adrian Mannarino;27;1210;2015-08-10;30;1988-06-29;2004;79;180;France;France;Soisy-sous-Montmorency;Two_Handed;Left_Handed
Novak Djokovic;28;13845;2015-08-03;1;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Roger Federer;33;9665;2015-08-03;2;1981-08-08;1998;85;185;Suisse;Switzerland;Basel;One_Handed;Right_Handed
Andy Murray;28;7840;2015-08-03;3;1987-05-15;2005;82;191;Angleterre;Scotland;Glasgow;Two_Handed;Right_Handed
Stan Wawrinka;30;5790;2015-08-03;4;1985-03-28;2002;81;183;Suisse;Switzerland;Lausanne;One_Handed;Right_Handed
Kei Nishikori;25;5525;2015-08-03;5;1989-12-29;2007;73;178;Japon;Japan;Shimane;Two_Handed;Right_Handed
Tomas Berdych;29;5140;2015-08-03;6;1985-09-17;2002;91;196;R<e9>publique tch<e8>que;CZE;Valasske Mezirici;Two_Handed;Right_Handed
David Ferrer;33;4325;2015-08-03;7;1982-04-02;2000;73;175;Espagne;Spain;Javea;Two_Handed;Right_Handed
Marin Cilic;26;3495;2015-08-03;8;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Rafael Nadal;29;3410;2015-08-03;9;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Milos Raonic;24;3400;2015-08-03;10;1990-12-27;2008;98;196;Canada;Montenegro;Podgorica;Two_Handed;Right_Handed
Gilles Simon;30;2765;2015-08-03;11;1984-12-27;2002;70;183;France;France;Nice;Two_Handed;Right_Handed
Jo-Wilfried Tsonga;30;2475;2015-08-03;12;1985-04-17;2004;93;188;France;France;Le Mans;Two_Handed;Right_Handed
Richard Gasquet;29;2150;2015-08-03;13;1986-06-18;2002;79;183;France;France;Beziers;One_Handed;Right_Handed
Kevin Anderson;29;2090;2015-08-03;14;1986-05-18;2007;94;203;Afrique du Sud;South Africa;Johannesburg;Two_Handed;Right_Handed
David Goffin;24;2045;2015-08-03;15;1990-12-07;2009;70;180;Belgique;Belgium;Rocourt;Two_Handed;Right_Handed
Grigor Dimitrov;24;1970;2015-08-03;16;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Gael Monfils;28;1930;2015-08-03;17;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
John Isner;30;1890;2015-08-03;18;1985-04-26;2007;108;208;Etats-Unis;NC;Greensboro;Two_Handed;Right_Handed
Feliciano Lopez;33;1845;2015-08-03;19;1981-09-20;1997;88;188;Espagne;Spain;Toledo;One_Handed;Left_Handed
Viktor Troicki;29;1629;2015-08-03;20;1986-02-10;2006;86;193;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Dominic Thiem;21;1575;2015-08-03;21;1993-09-03;2011;79;185;Autriche;Austria;Wiener Neustadt;One_Handed;Right_Handed
Tommy Robredo;33;1540;2015-08-03;22;1982-05-01;1998;75;180;Espagne;Spain;Hostalric;One_Handed;Right_Handed
Ivo Karlovic;36;1495;2015-08-03;23;1979-02-28;2000;104;211;Croatie;Croatia;Zagreb;One_Handed;Right_Handed
Andreas Seppi;31;1490;2015-08-03;24;1984-02-21;2002;78;191;Italie;Italy;Bolzano;Two_Handed;Right_Handed
Roberto Bautista Agut;27;1475;2015-08-03;25;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Bernard Tomic;22;1400;2015-08-03;26;1992-10-21;2008;91;196;Australie;Germany;Stuttgart;Two_Handed;Right_Handed
Fabio Fognini;28;1370;2015-08-03;27;1987-05-24;2004;79;178;Italie;Italy;Sanremo;Two_Handed;Right_Handed
Guillermo Garcia-Lopez;32;1210;2015-08-03;28;1983-06-04;2002;80;185;Espagne;Spain;La Roda (Albacete);One_Handed;Right_Handed
Adrian Mannarino;27;1210;2015-08-03;29;1988-06-29;2004;79;180;France;France;Soisy-sous-Montmorency;Two_Handed;Left_Handed
Pablo Cuevas;29;1170;2015-08-03;30;1986-01-01;2004;78;180;Uruguay;Argentina;Concordia;One_Handed;Right_Handed
Novak Djokovic;28;13845;2015-07-27;1;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Roger Federer;33;9665;2015-07-27;2;1981-08-08;1998;85;185;Suisse;Switzerland;Basel;One_Handed;Right_Handed
Andy Murray;28;7840;2015-07-27;3;1987-05-15;2005;82;191;Angleterre;Scotland;Glasgow;Two_Handed;Right_Handed
Stan Wawrinka;30;5790;2015-07-27;4;1985-03-28;2002;81;183;Suisse;Switzerland;Lausanne;One_Handed;Right_Handed
Kei Nishikori;25;5525;2015-07-27;5;1989-12-29;2007;73;178;Japon;Japan;Shimane;Two_Handed;Right_Handed
Tomas Berdych;29;5140;2015-07-27;6;1985-09-17;2002;91;196;R<e9>publique tch<e8>que;CZE;Valasske Mezirici;Two_Handed;Right_Handed
David Ferrer;33;4325;2015-07-27;7;1982-04-02;2000;73;175;Espagne;Spain;Javea;Two_Handed;Right_Handed
Milos Raonic;24;3810;2015-07-27;8;1990-12-27;2008;98;196;Canada;Montenegro;Podgorica;Two_Handed;Right_Handed
Marin Cilic;26;3495;2015-07-27;9;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Rafael Nadal;29;3000;2015-07-27;10;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Gilles Simon;30;2765;2015-07-27;11;1984-12-27;2002;70;183;France;France;Nice;Two_Handed;Right_Handed
Jo-Wilfried Tsonga;30;2475;2015-07-27;12;1985-04-17;2004;93;188;France;France;Le Mans;Two_Handed;Right_Handed
Richard Gasquet;29;2285;2015-07-27;13;1986-06-18;2002;79;183;France;France;Beziers;One_Handed;Right_Handed
David Goffin;24;2145;2015-07-27;14;1990-12-07;2009;70;180;Belgique;Belgium;Rocourt;Two_Handed;Right_Handed
Kevin Anderson;29;2090;2015-07-27;15;1986-05-18;2007;94;203;Afrique du Sud;South Africa;Johannesburg;Two_Handed;Right_Handed
Grigor Dimitrov;24;1970;2015-07-27;16;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Gael Monfils;28;1930;2015-07-27;17;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
Feliciano Lopez;33;1800;2015-07-27;18;1981-09-20;1997;88;188;Espagne;Spain;Toledo;One_Handed;Left_Handed
John Isner;30;1685;2015-07-27;19;1985-04-26;2007;108;208;Etats-Unis;NC;Greensboro;Two_Handed;Right_Handed
Viktor Troicki;29;1629;2015-07-27;20;1986-02-10;2006;86;193;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Tommy Robredo;33;1540;2015-07-27;21;1982-05-01;1998;75;180;Espagne;Spain;Hostalric;One_Handed;Right_Handed
Ivo Karlovic;36;1495;2015-07-27;22;1979-02-28;2000;104;211;Croatie;Croatia;Zagreb;One_Handed;Right_Handed
Roberto Bautista Agut;27;1475;2015-07-27;23;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Dominic Thiem;21;1475;2015-07-27;24;1993-09-03;2011;79;185;Autriche;Austria;Wiener Neustadt;One_Handed;Right_Handed
Bernard Tomic;22;1400;2015-07-27;25;1992-10-21;2008;91;196;Australie;Germany;Stuttgart;Two_Handed;Right_Handed
Andreas Seppi;31;1355;2015-07-27;26;1984-02-21;2002;78;191;Italie;Italy;Bolzano;Two_Handed;Right_Handed
Adrian Mannarino;27;1255;2015-07-27;27;1988-06-29;2004;79;180;France;France;Soisy-sous-Montmorency;Two_Handed;Left_Handed
Guillermo Garcia-Lopez;32;1210;2015-07-27;28;1983-06-04;2002;80;185;Espagne;Spain;La Roda (Albacete);One_Handed;Right_Handed
Vasek Pospisil;25;1170;2015-07-27;29;1990-06-23;2007;88;193;Canada;Canada;Vernon;Two_Handed;Right_Handed
Sam Querrey;27;1140;2015-07-27;30;1987-10-07;2006;95;198;Etats-Unis;CA;San Francisco;Two_Handed;Right_Handed
Novak Djokovic;28;13845;2015-07-20;1;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Roger Federer;33;9665;2015-07-20;2;1981-08-08;1998;85;185;Suisse;Switzerland;Basel;One_Handed;Right_Handed
Andy Murray;28;7840;2015-07-20;3;1987-05-15;2005;82;191;Angleterre;Scotland;Glasgow;Two_Handed;Right_Handed
Stan Wawrinka;30;5790;2015-07-20;4;1985-03-28;2002;81;183;Suisse;Switzerland;Lausanne;One_Handed;Right_Handed
Kei Nishikori;25;5525;2015-07-20;5;1989-12-29;2007;73;178;Japon;Japan;Shimane;Two_Handed;Right_Handed
Tomas Berdych;29;5140;2015-07-20;6;1985-09-17;2002;91;196;R<e9>publique tch<e8>que;CZE;Valasske Mezirici;Two_Handed;Right_Handed
David Ferrer;33;4325;2015-07-20;7;1982-04-02;2000;73;175;Espagne;Spain;Javea;Two_Handed;Right_Handed
Milos Raonic;24;3810;2015-07-20;8;1990-12-27;2008;98;196;Canada;Montenegro;Podgorica;Two_Handed;Right_Handed
Marin Cilic;26;3540;2015-07-20;9;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Rafael Nadal;29;3000;2015-07-20;10;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Gilles Simon;30;2765;2015-07-20;11;1984-12-27;2002;70;183;France;France;Nice;Two_Handed;Right_Handed
Jo-Wilfried Tsonga;30;2475;2015-07-20;12;1985-04-17;2004;93;188;France;France;Le Mans;Two_Handed;Right_Handed
Richard Gasquet;29;2285;2015-07-20;13;1986-06-18;2002;79;183;France;France;Beziers;One_Handed;Right_Handed
David Goffin;24;2180;2015-07-20;14;1990-12-07;2009;70;180;Belgique;Belgium;Rocourt;Two_Handed;Right_Handed
Kevin Anderson;29;2090;2015-07-20;15;1986-05-18;2007;94;203;Afrique du Sud;South Africa;Johannesburg;Two_Handed;Right_Handed
Grigor Dimitrov;24;1970;2015-07-20;16;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Gael Monfils;28;1930;2015-07-20;17;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
John Isner;30;1890;2015-07-20;18;1985-04-26;2007;108;208;Etats-Unis;NC;Greensboro;Two_Handed;Right_Handed
Feliciano Lopez;33;1800;2015-07-20;19;1981-09-20;1997;88;188;Espagne;Spain;Toledo;One_Handed;Left_Handed
Viktor Troicki;29;1629;2015-07-20;20;1986-02-10;2006;86;193;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Tommy Robredo;33;1540;2015-07-20;21;1982-05-01;1998;75;180;Espagne;Spain;Hostalric;One_Handed;Right_Handed
Roberto Bautista Agut;27;1475;2015-07-20;22;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Ivo Karlovic;36;1450;2015-07-20;23;1979-02-28;2000;104;211;Croatie;Croatia;Zagreb;One_Handed;Right_Handed
Andreas Seppi;31;1355;2015-07-20;24;1984-02-21;2002;78;191;Italie;Italy;Bolzano;Two_Handed;Right_Handed
Pablo Cuevas;29;1297;2015-07-20;25;1986-01-01;2004;78;180;Uruguay;Argentina;Concordia;One_Handed;Right_Handed
Dominic Thiem;21;1235;2015-07-20;26;1993-09-03;2011;79;185;Autriche;Austria;Wiener Neustadt;One_Handed;Right_Handed
Juan Monaco;31;1215;2015-07-20;27;1984-03-29;2002;81;185;Argentine;Argentina;Tandil;Two_Handed;Right_Handed
Guillermo Garcia-Lopez;32;1210;2015-07-20;28;1983-06-04;2002;80;185;Espagne;Spain;La Roda (Albacete);One_Handed;Right_Handed
Bernard Tomic;22;1195;2015-07-20;29;1992-10-21;2008;91;196;Australie;Germany;Stuttgart;Two_Handed;Right_Handed
Vasek Pospisil;25;1195;2015-07-20;30;1990-06-23;2007;88;193;Canada;Canada;Vernon;Two_Handed;Right_Handed
Novak Djokovic;28;13845;2015-07-13;1;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Roger Federer;33;9665;2015-07-13;2;1981-08-08;1998;85;185;Suisse;Switzerland;Basel;One_Handed;Right_Handed
Andy Murray;28;7810;2015-07-13;3;1987-05-15;2005;82;191;Angleterre;Scotland;Glasgow;Two_Handed;Right_Handed
Stan Wawrinka;30;5790;2015-07-13;4;1985-03-28;2002;81;183;Suisse;Switzerland;Lausanne;One_Handed;Right_Handed
Kei Nishikori;25;5525;2015-07-13;5;1989-12-29;2007;73;178;Japon;Japan;Shimane;Two_Handed;Right_Handed
Tomas Berdych;29;5140;2015-07-13;6;1985-09-17;2002;91;196;R<e9>publique tch<e8>que;CZE;Valasske Mezirici;Two_Handed;Right_Handed
David Ferrer;33;4445;2015-07-13;7;1982-04-02;2000;73;175;Espagne;Spain;Javea;Two_Handed;Right_Handed
Milos Raonic;24;3810;2015-07-13;8;1990-12-27;2008;98;196;Canada;Montenegro;Podgorica;Two_Handed;Right_Handed
Marin Cilic;26;3540;2015-07-13;9;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Rafael Nadal;29;3000;2015-07-13;10;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Gilles Simon;30;2705;2015-07-13;11;1984-12-27;2002;70;183;France;France;Nice;Two_Handed;Right_Handed
Jo-Wilfried Tsonga;30;2475;2015-07-13;12;1985-04-17;2004;93;188;France;France;Le Mans;Two_Handed;Right_Handed
Richard Gasquet;29;2285;2015-07-13;13;1986-06-18;2002;79;183;France;France;Beziers;One_Handed;Right_Handed
David Goffin;24;2145;2015-07-13;14;1990-12-07;2009;70;180;Belgique;Belgium;Rocourt;Two_Handed;Right_Handed
Kevin Anderson;29;2090;2015-07-13;15;1986-05-18;2007;94;203;Afrique du Sud;South Africa;Johannesburg;Two_Handed;Right_Handed
Grigor Dimitrov;24;1970;2015-07-13;16;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Gael Monfils;28;1930;2015-07-13;17;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
John Isner;30;1890;2015-07-13;18;1985-04-26;2007;108;208;Etats-Unis;NC;Greensboro;Two_Handed;Right_Handed
Feliciano Lopez;33;1800;2015-07-13;19;1981-09-20;1997;88;188;Espagne;Spain;Toledo;One_Handed;Left_Handed
Viktor Troicki;29;1629;2015-07-13;20;1986-02-10;2006;86;193;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
