Name;Age;Points;Date;Rank;Birth_date;Turned_Pro;Weight;Height;Nationality;Birth_Country;Birth_City;Backhand;Strong_Hand
Rafael Nadal;36;5620;2022-08-15;3;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Carlos Alcaraz;19;5045;2022-08-15;4;2003-05-05;2018;74;183;Espagne;Murcia;El Palmar;Two_Handed;Right_Handed
Casper Ruud;23;4865;2022-08-15;5;1998-12-22;2015;77;183;Norvege;Norway;Oslo;Two_Handed;Right_Handed
Novak Djokovic;35;4770;2022-08-15;6;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Stefanos Tsitsipas;24;4650;2022-08-15;7;1998-08-12;2016;90;193;Grece;Greece;Athens;One_Handed;Right_Handed
Andrey Rublev;24;3630;2022-08-15;8;1997-10-20;2014;75;188;Russie;Russia;Moscow;Two_Handed;Right_Handed
Felix Auger-Aliassime;22;3625;2022-08-15;9;2000-08-08;2017;88;193;Canada;Canada;Montreal;Two_Handed;Right_Handed
Hubert Hurkacz;25;3435;2022-08-15;10;1997-02-11;2015;81;196;Pologne;Poland;Wroclaw;Two_Handed;Right_Handed
Cameron Norrie;26;3065;2022-08-15;11;1995-08-23;2017;82;188;Angleterre;South Africa;Johannesburg;Two_Handed;Left_Handed
Jannik Sinner;20;2975;2022-08-15;12;2001-08-16;2018;76;188;Italie;Italy;San Candido;Two_Handed;Right_Handed
Taylor Fritz;24;2930;2022-08-15;13;1997-10-28;2015;86;196;Etats-Unis;CA;Rancho Santa Fe;Two_Handed;Right_Handed
Pablo Carreno Busta;31;2545;2022-08-15;14;1991-07-12;2009;78;188;Espagne;Spain;Gijon;Two_Handed;Right_Handed
Matteo Berrettini;26;2440;2022-08-15;15;1996-04-12;2015;95;196;Italie;Italy;Rome;Two_Handed;Right_Handed
Diego Schwartzman;29;2200;2022-08-15;16;1992-08-16;2010;64;170;Argentine;Argentina;Buenos Aires;Two_Handed;Right_Handed
Marin Cilic;33;2130;2022-08-15;17;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
