"Team","System_Team","Match_Number","Home_Away","Three_Or_Five_Def","Two_Strikers","Classification","Age","Mean_Value","Rank","Points","League","Rank_bis","Points_bis"
"West Ham United","4-2-3-1",477,"Home","No","No","4d_1s",24.9,10.59,14,40,"Premier League",0.3,1.05263157894737
"Fulham FC","4-2-3-1",477,"Away","No","No","4d_1s",25.3,6.28,10,52,"Premier League",0.5,1.36842105263158
"Arsenal FC","4-2-3-1",478,"Home","No","No","4d_1s",23.5,23.83,2,84,"Premier League",0.9,2.21052631578947
"Liverpool FC","4-2-3-1",478,"Away","No","No","4d_1s",25.1,20.82,5,67,"Premier League",0.75,1.76315789473684
"Everton FC","4-3-3",479,"Home","No","No","4d_1s",26.3,10.33,17,36,"Premier League",0.15,0.947368421052632
"Manchester United","4-2-3-1",479,"Away","No","No","4d_1s",24.9,17.67,3,75,"Premier League",0.85,1.97368421052632
"Nottingham Forest","4-3-3",480,"Home","No","No","4d_1s",26.1,7.53,16,38,"Premier League",0.2,1
"Aston Villa","4-3-3",480,"Away","No","No","4d_1s",24.9,11.85,7,61,"Premier League",0.65,1.60526315789474
"Brentford FC","4-1-4-1",481,"Home","No","No","4d_1s",24.8,10.31,9,59,"Premier League",0.55,1.55263157894737
"Brighton & Hove Albion","4-4-1-1",481,"Away","No","No","4d_1s",23.6,12.61,6,62,"Premier League",0.7,1.63157894736842
"Leicester City","4-1-4-1",482,"Home","No","No","4d_1s",25.9,12.92,18,34,"Premier League",0.1,0.894736842105263
"Crystal Palace","4-3-3",482,"Away","No","No","4d_1s",24.9,8.28,11,45,"Premier League",0.45,1.18421052631579
"Fulham FC","4-2-3-1",483,"Home","No","No","4d_1s",25.3,6.28,10,52,"Premier League",0.5,1.36842105263158
"AFC Bournemouth","4-2-3-1",483,"Away","No","No","4d_1s",24.4,6.11,15,39,"Premier League",0.25,1.02631578947368
"Wolverhampton Wanderers","4-2-3-1",484,"Home","No","No","4d_1s",25.3,11.57,13,41,"Premier League",0.35,1.07894736842105
"Nottingham Forest","4-3-3",484,"Away","No","No","4d_1s",26.1,7.53,16,38,"Premier League",0.2,1
"Tottenham Hotspur","3-4-3",485,"Home","Yes","No","3_5d_1s",25.4,19.09,8,60,"Premier League",0.6,1.57894736842105
"Everton FC","3-5-2",485,"Away","Yes","Yes","3_5d_2s",26.3,10.33,17,36,"Premier League",0.15,0.947368421052632
"Aston Villa","4-3-3",486,"Home","No","No","4d_1s",24.9,11.85,7,61,"Premier League",0.65,1.60526315789474
"Chelsea FC","3-4-2-1",486,"Away","Yes","No","3_5d_1s",24.7,23.14,12,44,"Premier League",0.4,1.15789473684211
"Leeds United","4-2-3-1",487,"Home","No","No","4d_1s",23.5,7.34,19,31,"Premier League",0.05,0.815789473684211
"Arsenal FC","4-2-3-1",487,"Away","No","No","4d_1s",23.5,23.83,2,84,"Premier League",0.9,2.21052631578947
"Manchester United","4-2-3-1",488,"Home","No","No","4d_1s",24.9,17.67,3,75,"Premier League",0.85,1.97368421052632
"Newcastle United","4-3-3",488,"Away","No","No","4d_1s",27.8,14.25,4,71,"Premier League",0.8,1.86842105263158
"Southampton FC","4-3-3",489,"Home","No","No","4d_1s",24.2,9.13,20,25,"Premier League",0,0.657894736842105
"West Ham United","3-4-1-2",489,"Away","Yes","Yes","3_5d_2s",24.9,10.59,14,40,"Premier League",0.3,1.05263157894737
"Liverpool FC","4-2-3-1",490,"Home","No","No","4d_1s",25.1,20.82,5,67,"Premier League",0.75,1.76315789473684
"Manchester City","3-5-2",490,"Away","Yes","Yes","3_5d_2s",25.5,33.7,1,89,"Premier League",0.95,2.34210526315789
"Brighton & Hove Albion","3-4-2-1",491,"Home","Yes","No","3_5d_1s",23.6,12.61,6,62,"Premier League",0.7,1.63157894736842
"Nottingham Forest","4-3-3",491,"Away","No","No","4d_1s",26.1,7.53,16,38,"Premier League",0.2,1
"Crystal Palace","4-1-4-1",492,"Home","No","No","4d_1s",24.9,8.28,11,45,"Premier League",0.45,1.18421052631579
"Wolverhampton Wanderers","4-2-3-1",492,"Away","No","No","4d_1s",25.3,11.57,13,41,"Premier League",0.35,1.07894736842105
"AFC Bournemouth","4-1-4-1",493,"Home","No","No","4d_1s",24.4,6.11,15,39,"Premier League",0.25,1.02631578947368
"Southampton FC","4-4-2",493,"Away","No","Yes","4d_2s",24.2,9.13,20,25,"Premier League",0,0.657894736842105
"Brentford FC","3-5-2",494,"Home","Yes","Yes","3_5d_2s",24.8,10.31,9,59,"Premier League",0.55,1.55263157894737
"Chelsea FC","3-4-2-1",494,"Away","Yes","No","3_5d_1s",24.7,23.14,12,44,"Premier League",0.4,1.15789473684211
"Newcastle United","4-3-3",495,"Home","No","No","4d_1s",27.8,14.25,4,71,"Premier League",0.8,1.86842105263158
"Everton FC","4-3-3",495,"Away","No","No","4d_1s",26.3,10.33,17,36,"Premier League",0.15,0.947368421052632
"Liverpool FC","4-4-2",496,"Home","No","Yes","4d_2s",25.1,20.82,5,67,"Premier League",0.75,1.76315789473684
"West Ham United","4-4-2",496,"Away","No","Yes","4d_2s",24.9,10.59,14,40,"Premier League",0.3,1.05263157894737
"Manchester United","4-2-3-1",497,"Home","No","No","4d_1s",24.9,17.67,3,75,"Premier League",0.85,1.97368421052632
"Tottenham Hotspur","3-5-2",497,"Away","Yes","Yes","3_5d_2s",25.4,19.09,8,60,"Premier League",0.6,1.57894736842105
"Fulham FC","4-2-3-1",498,"Home","No","No","4d_1s",25.3,6.28,10,52,"Premier League",0.5,1.36842105263158
"Aston Villa","4-3-3",498,"Away","No","No","4d_1s",24.9,11.85,7,61,"Premier League",0.65,1.60526315789474
"Leicester City","4-1-4-1",499,"Home","No","No","4d_1s",25.9,12.92,18,34,"Premier League",0.1,0.894736842105263
"Leeds United","4-2-3-1",499,"Away","No","No","4d_1s",23.5,7.34,19,31,"Premier League",0.05,0.815789473684211
"Arsenal FC","4-3-3",500,"Home","No","No","4d_1s",23.5,23.83,2,84,"Premier League",0.9,2.21052631578947
"Manchester City","3-4-2-1",500,"Away","Yes","No","3_5d_1s",25.5,33.7,1,89,"Premier League",0.95,2.34210526315789
"Nottingham Forest","4-3-3",501,"Home","No","No","4d_1s",26.1,7.53,16,38,"Premier League",0.2,1
"Liverpool FC","4-4-2",501,"Away","No","Yes","4d_2s",25.1,20.82,5,67,"Premier League",0.75,1.76315789473684
"Everton FC","4-2-3-1",502,"Home","No","No","4d_1s",26.3,10.33,17,36,"Premier League",0.15,0.947368421052632
"Crystal Palace","4-1-4-1",502,"Away","No","No","4d_1s",24.9,8.28,11,45,"Premier League",0.45,1.18421052631579
"Manchester City","4-3-3",503,"Home","No","No","4d_1s",25.5,33.7,1,89,"Premier League",0.95,2.34210526315789
"Brighton & Hove Albion","3-4-1-2",503,"Away","Yes","Yes","3_5d_2s",23.6,12.61,6,62,"Premier League",0.7,1.63157894736842
"Chelsea FC","3-4-2-1",504,"Home","Yes","No","3_5d_1s",24.7,23.14,12,44,"Premier League",0.4,1.15789473684211
"Manchester United","4-2-3-1",504,"Away","No","No","4d_1s",24.9,17.67,3,75,"Premier League",0.85,1.97368421052632
"Aston Villa","4-2-3-1",505,"Home","No","No","4d_1s",24.9,11.85,7,61,"Premier League",0.65,1.60526315789474
"Brentford FC","3-5-2",505,"Away","Yes","Yes","3_5d_2s",24.8,10.31,9,59,"Premier League",0.55,1.55263157894737
"Leeds United","4-2-3-1",506,"Home","No","No","4d_1s",23.5,7.34,19,31,"Premier League",0.05,0.815789473684211
"Fulham FC","4-2-3-1",506,"Away","No","No","4d_1s",25.3,6.28,10,52,"Premier League",0.5,1.36842105263158
"Southampton FC","4-4-2",507,"Home","No","Yes","4d_2s",24.2,9.13,20,25,"Premier League",0,0.657894736842105
"Arsenal FC","4-3-3",507,"Away","No","No","4d_1s",23.5,23.83,2,84,"Premier League",0.9,2.21052631578947
"Wolverhampton Wanderers","4-2-3-1",508,"Home","No","No","4d_1s",25.3,11.57,13,41,"Premier League",0.35,1.07894736842105
"Leicester City","4-1-4-1",508,"Away","No","No","4d_1s",25.9,12.92,18,34,"Premier League",0.1,0.894736842105263
"Tottenham Hotspur","3-5-2",509,"Home","Yes","Yes","3_5d_2s",25.4,19.09,8,60,"Premier League",0.6,1.57894736842105
"Newcastle United","4-3-3",509,"Away","No","No","4d_1s",27.8,14.25,4,71,"Premier League",0.8,1.86842105263158
"West Ham United","4-2-3-1",510,"Home","No","No","4d_1s",24.9,10.59,14,40,"Premier League",0.3,1.05263157894737
"AFC Bournemouth","4-2-3-1",510,"Away","No","No","4d_1s",24.4,6.11,15,39,"Premier League",0.25,1.02631578947368
"Leicester City","5-4-1",511,"Home","Yes","No","3_5d_1s",25.9,12.92,18,34,"Premier League",0.1,0.894736842105263
"Manchester City","4-3-3",511,"Away","No","No","4d_1s",25.5,33.7,1,89,"Premier League",0.95,2.34210526315789
"Crystal Palace","4-2-3-1",512,"Home","No","No","4d_1s",24.9,8.28,11,45,"Premier League",0.45,1.18421052631579
"Southampton FC","4-4-2",512,"Away","No","Yes","4d_2s",24.2,9.13,20,25,"Premier League",0,0.657894736842105
"Newcastle United","4-3-3",513,"Home","No","No","4d_1s",27.8,14.25,4,71,"Premier League",0.8,1.86842105263158
"Aston Villa","4-2-3-1",513,"Away","No","No","4d_1s",24.9,11.85,7,61,"Premier League",0.65,1.60526315789474
"AFC Bournemouth","3-5-2",514,"Home","Yes","Yes","3_5d_2s",24.4,6.11,15,39,"Premier League",0.25,1.02631578947368
"Tottenham Hotspur","3-5-2",514,"Away","Yes","Yes","3_5d_2s",25.4,19.09,8,60,"Premier League",0.6,1.57894736842105
"Brentford FC","4-3-3",515,"Home","No","No","4d_1s",24.8,10.31,9,59,"Premier League",0.55,1.55263157894737
"Wolverhampton Wanderers","4-2-3-1",515,"Away","No","No","4d_1s",25.3,11.57,13,41,"Premier League",0.35,1.07894736842105
"Brighton & Hove Albion","4-2-3-1",516,"Home","No","No","4d_1s",23.6,12.61,6,62,"Premier League",0.7,1.63157894736842
"Chelsea FC","3-4-2-1",516,"Away","Yes","No","3_5d_1s",24.7,23.14,12,44,"Premier League",0.4,1.15789473684211
"Fulham FC","4-2-3-1",517,"Home","No","No","4d_1s",25.3,6.28,10,52,"Premier League",0.5,1.36842105263158
"Everton FC","4-2-3-1",517,"Away","No","No","4d_1s",26.3,10.33,17,36,"Premier League",0.15,0.947368421052632
"Liverpool FC","4-3-3",518,"Home","No","No","4d_1s",25.1,20.82,5,67,"Premier League",0.75,1.76315789473684
"Leeds United","4-2-3-1",518,"Away","No","No","4d_1s",23.5,7.34,19,31,"Premier League",0.05,0.815789473684211
"Arsenal FC","4-3-3",519,"Home","No","No","4d_1s",23.5,23.83,2,84,"Premier League",0.9,2.21052631578947
"Nottingham Forest","4-3-3",519,"Away","No","No","4d_1s",26.1,7.53,16,38,"Premier League",0.2,1
"Manchester United","4-2-3-1",520,"Home","No","No","4d_1s",24.9,17.67,3,75,"Premier League",0.85,1.97368421052632
"West Ham United","4-2-3-1",520,"Away","No","No","4d_1s",24.9,10.59,14,40,"Premier League",0.3,1.05263157894737
"Leeds United","4-2-3-1",521,"Home","No","No","4d_1s",23.5,7.34,19,31,"Premier League",0.05,0.815789473684211
"AFC Bournemouth","4-4-2",521,"Away","No","Yes","4d_2s",24.4,6.11,15,39,"Premier League",0.25,1.02631578947368
"Manchester City","4-1-4-1",522,"Home","No","No","4d_1s",25.5,33.7,1,89,"Premier League",0.95,2.34210526315789
"Fulham FC","4-1-4-1",522,"Away","No","No","4d_1s",25.3,6.28,10,52,"Premier League",0.5,1.36842105263158
"Nottingham Forest","4-3-1-2",523,"Home","No","Yes","4d_2s",26.1,7.53,16,38,"Premier League",0.2,1
"Brentford FC","4-3-3",523,"Away","No","No","4d_1s",24.8,10.31,9,59,"Premier League",0.55,1.55263157894737
"Wolverhampton Wanderers","4-3-3",524,"Home","No","No","4d_1s",25.3,11.57,13,41,"Premier League",0.35,1.07894736842105
"Brighton & Hove Albion","4-2-3-1",524,"Away","No","No","4d_1s",23.6,12.61,6,62,"Premier League",0.7,1.63157894736842
"Everton FC","4-3-3",525,"Home","No","No","4d_1s",26.3,10.33,17,36,"Premier League",0.15,0.947368421052632
"Leicester City","4-1-4-1",525,"Away","No","No","4d_1s",25.9,12.92,18,34,"Premier League",0.1,0.894736842105263
"Chelsea FC","4-2-3-1",526,"Home","No","No","4d_1s",24.7,23.14,12,44,"Premier League",0.4,1.15789473684211
"Arsenal FC","4-1-4-1",526,"Away","No","No","4d_1s",23.5,23.83,2,84,"Premier League",0.9,2.21052631578947
"Aston Villa","4-2-3-1",527,"Home","No","No","4d_1s",24.9,11.85,7,61,"Premier League",0.65,1.60526315789474
"Manchester United","4-2-3-1",527,"Away","No","No","4d_1s",24.9,17.67,3,75,"Premier League",0.85,1.97368421052632
"Southampton FC","4-2-3-1",528,"Home","No","No","4d_1s",24.2,9.13,20,25,"Premier League",0,0.657894736842105
"Newcastle United","4-3-3",528,"Away","No","No","4d_1s",27.8,14.25,4,71,"Premier League",0.8,1.86842105263158
"West Ham United","4-2-3-1",529,"Home","No","No","4d_1s",24.9,10.59,14,40,"Premier League",0.3,1.05263157894737
"Crystal Palace","4-2-3-1",529,"Away","No","No","4d_1s",24.9,8.28,11,45,"Premier League",0.45,1.18421052631579
"Tottenham Hotspur","3-5-2",530,"Home","Yes","Yes","3_5d_2s",25.4,19.09,8,60,"Premier League",0.6,1.57894736842105
"Liverpool FC","4-3-3",530,"Away","No","No","4d_1s",25.1,20.82,5,67,"Premier League",0.75,1.76315789473684
"Manchester City","4-3-3",531,"Home","No","No","4d_1s",25.5,33.7,1,89,"Premier League",0.95,2.34210526315789
"Brentford FC","3-5-2",531,"Away","Yes","Yes","3_5d_2s",24.8,10.31,9,59,"Premier League",0.55,1.55263157894737
"AFC Bournemouth","4-4-2",532,"Home","No","Yes","4d_2s",24.4,6.11,15,39,"Premier League",0.25,1.02631578947368
"Everton FC","4-3-3",532,"Away","No","No","4d_1s",26.3,10.33,17,36,"Premier League",0.15,0.947368421052632
"Liverpool FC","4-3-3",533,"Home","No","No","4d_1s",25.1,20.82,5,67,"Premier League",0.75,1.76315789473684
"Southampton FC","4-4-2",533,"Away","No","Yes","4d_2s",24.2,9.13,20,25,"Premier League",0,0.657894736842105
"Nottingham Forest","4-3-3",534,"Home","No","No","4d_1s",26.1,7.53,16,38,"Premier League",0.2,1
"Crystal Palace","4-3-3",534,"Away","No","No","4d_1s",24.9,8.28,11,45,"Premier League",0.45,1.18421052631579
"Tottenham Hotspur","3-4-3",535,"Home","Yes","No","3_5d_1s",25.4,19.09,8,60,"Premier League",0.6,1.57894736842105
"Leeds United","4-2-3-1",535,"Away","No","No","4d_1s",23.5,7.34,19,31,"Premier League",0.05,0.815789473684211
"West Ham United","4-2-3-1",536,"Home","No","No","4d_1s",24.9,10.59,14,40,"Premier League",0.3,1.05263157894737
"Leicester City","4-1-4-1",536,"Away","No","No","4d_1s",25.9,12.92,18,34,"Premier League",0.1,0.894736842105263
"Newcastle United","4-3-3",537,"Home","No","No","4d_1s",27.8,14.25,4,71,"Premier League",0.8,1.86842105263158
"Chelsea FC","3-4-2-1",537,"Away","Yes","No","3_5d_1s",24.7,23.14,12,44,"Premier League",0.4,1.15789473684211
"Wolverhampton Wanderers","5-3-2",538,"Home","Yes","Yes","3_5d_2s",25.3,11.57,13,41,"Premier League",0.35,1.07894736842105
"Arsenal FC","4-3-3",538,"Away","No","No","4d_1s",23.5,23.83,2,84,"Premier League",0.9,2.21052631578947
"Brighton & Hove Albion","4-2-3-1",539,"Home","No","No","4d_1s",23.6,12.61,6,62,"Premier League",0.7,1.63157894736842
"Aston Villa","4-4-2",539,"Away","No","Yes","4d_2s",24.9,11.85,7,61,"Premier League",0.65,1.60526315789474
"Fulham FC","4-2-3-1",540,"Home","No","No","4d_1s",25.3,6.28,10,52,"Premier League",0.5,1.36842105263158
"Manchester United","4-3-3",540,"Away","No","No","4d_1s",24.9,17.67,3,75,"Premier League",0.85,1.97368421052632
"Brentford FC","3-5-2",541,"Home","Yes","Yes","3_5d_2s",24.8,10.31,9,59,"Premier League",0.55,1.55263157894737
"Tottenham Hotspur","3-4-3",541,"Away","Yes","No","3_5d_1s",25.4,19.09,8,60,"Premier League",0.6,1.57894736842105
"Crystal Palace","4-4-2",542,"Home","No","Yes","4d_2s",24.9,8.28,11,45,"Premier League",0.45,1.18421052631579
"Fulham FC","4-2-3-1",542,"Away","No","No","4d_1s",25.3,6.28,10,52,"Premier League",0.5,1.36842105263158
"Everton FC","4-3-3",543,"Home","No","No","4d_1s",26.3,10.33,17,36,"Premier League",0.15,0.947368421052632
"Wolverhampton Wanderers","4-3-3",543,"Away","No","No","4d_1s",25.3,11.57,13,41,"Premier League",0.35,1.07894736842105
"Leicester City","4-2-3-1",544,"Home","No","No","4d_1s",25.9,12.92,18,34,"Premier League",0.1,0.894736842105263
"Newcastle United","4-3-3",544,"Away","No","No","4d_1s",27.8,14.25,4,71,"Premier League",0.8,1.86842105263158
"Southampton FC","4-2-3-1",545,"Home","No","No","4d_1s",24.2,9.13,20,25,"Premier League",0,0.657894736842105
"Brighton & Hove Albion","4-2-3-1",545,"Away","No","No","4d_1s",23.6,12.61,6,62,"Premier League",0.7,1.63157894736842
"Aston Villa","4-4-2",546,"Home","No","Yes","4d_2s",24.9,11.85,7,61,"Premier League",0.65,1.60526315789474
"Liverpool FC","4-3-3",546,"Away","No","No","4d_1s",25.1,20.82,5,67,"Premier League",0.75,1.76315789473684
"Arsenal FC","4-3-3",547,"Home","No","No","4d_1s",23.5,23.83,2,84,"Premier League",0.9,2.21052631578947
"West Ham United","4-2-3-1",547,"Away","No","No","4d_1s",24.9,10.59,14,40,"Premier League",0.3,1.05263157894737
"Chelsea FC","4-3-3",548,"Home","No","No","4d_1s",24.7,23.14,12,44,"Premier League",0.4,1.15789473684211
"AFC Bournemouth","5-3-2",548,"Away","Yes","Yes","3_5d_2s",24.4,6.11,15,39,"Premier League",0.25,1.02631578947368
"Manchester United","4-2-3-1",549,"Home","No","No","4d_1s",24.9,17.67,3,75,"Premier League",0.85,1.97368421052632
"Nottingham Forest","4-3-3",549,"Away","No","No","4d_1s",26.1,7.53,16,38,"Premier League",0.2,1
"Leeds United","4-3-3",550,"Home","No","No","4d_1s",23.5,7.34,19,31,"Premier League",0.05,0.815789473684211
"Manchester City","4-3-3",550,"Away","No","No","4d_1s",25.5,33.7,1,89,"Premier League",0.95,2.34210526315789
"West Ham United","3-4-2-1",551,"Home","Yes","No","3_5d_1s",24.9,10.59,14,40,"Premier League",0.3,1.05263157894737
"Brentford FC","3-5-2",551,"Away","Yes","Yes","3_5d_2s",24.8,10.31,9,59,"Premier League",0.55,1.55263157894737
"Liverpool FC","4-3-3",552,"Home","No","No","4d_1s",25.1,20.82,5,67,"Premier League",0.75,1.76315789473684
"Leicester City","4-2-3-1",552,"Away","No","No","4d_1s",25.9,12.92,18,34,"Premier League",0.1,0.894736842105263
"Wolverhampton Wanderers","4-2-3-1",553,"Home","No","No","4d_1s",25.3,11.57,13,41,"Premier League",0.35,1.07894736842105
"Manchester United","4-2-3-1",553,"Away","No","No","4d_1s",24.9,17.67,3,75,"Premier League",0.85,1.97368421052632
"AFC Bournemouth","4-4-2",554,"Home","No","Yes","4d_2s",24.4,6.11,15,39,"Premier League",0.25,1.02631578947368
"Crystal Palace","4-2-3-1",554,"Away","No","No","4d_1s",24.9,8.28,11,45,"Premier League",0.45,1.18421052631579
"Fulham FC","4-2-3-1",555,"Home","No","No","4d_1s",25.3,6.28,10,52,"Premier League",0.5,1.36842105263158
"Southampton FC","3-4-3",555,"Away","Yes","No","3_5d_1s",24.2,9.13,20,25,"Premier League",0,0.657894736842105
"Manchester City","4-3-3",556,"Home","No","No","4d_1s",25.5,33.7,1,89,"Premier League",0.95,2.34210526315789
"Everton FC","5-3-2",556,"Away","Yes","Yes","3_5d_2s",26.3,10.33,17,36,"Premier League",0.15,0.947368421052632
"Newcastle United","4-3-3",557,"Home","No","No","4d_1s",27.8,14.25,4,71,"Premier League",0.8,1.86842105263158
"Leeds United","4-2-3-1",557,"Away","No","No","4d_1s",23.5,7.34,19,31,"Premier League",0.05,0.815789473684211
"Brighton & Hove Albion","4-1-4-1",558,"Home","No","No","4d_1s",23.6,12.61,6,62,"Premier League",0.7,1.63157894736842
"Arsenal FC","4-1-4-1",558,"Away","No","No","4d_1s",23.5,23.83,2,84,"Premier League",0.9,2.21052631578947
"Tottenham Hotspur","3-4-3",559,"Home","Yes","No","3_5d_1s",25.4,19.09,8,60,"Premier League",0.6,1.57894736842105
"Aston Villa","4-4-2",559,"Away","No","Yes","4d_2s",24.9,11.85,7,61,"Premier League",0.65,1.60526315789474
"Nottingham Forest","4-3-3",560,"Home","No","No","4d_1s",26.1,7.53,16,38,"Premier League",0.2,1
"Chelsea FC","4-3-3",560,"Away","No","No","4d_1s",24.7,23.14,12,44,"Premier League",0.4,1.15789473684211
"Brentford FC","3-5-2",561,"Home","Yes","Yes","3_5d_2s",24.8,10.31,9,59,"Premier League",0.55,1.55263157894737
"Liverpool FC","4-3-3",561,"Away","No","No","4d_1s",25.1,20.82,5,67,"Premier League",0.75,1.76315789473684
"Arsenal FC","4-3-3",562,"Home","No","No","4d_1s",23.5,23.83,2,84,"Premier League",0.9,2.21052631578947
"Newcastle United","4-3-3",562,"Away","No","No","4d_1s",27.8,14.25,4,71,"Premier League",0.8,1.86842105263158
"Everton FC","4-3-3",563,"Home","No","No","4d_1s",26.3,10.33,17,36,"Premier League",0.15,0.947368421052632
"Brighton & Hove Albion","4-2-3-1",563,"Away","No","No","4d_1s",23.6,12.61,6,62,"Premier League",0.7,1.63157894736842
"Leicester City","4-2-3-1",564,"Home","No","No","4d_1s",25.9,12.92,18,34,"Premier League",0.1,0.894736842105263
"Fulham FC","4-2-3-1",564,"Away","No","No","4d_1s",25.3,6.28,10,52,"Premier League",0.5,1.36842105263158
"Manchester United","4-2-3-1",565,"Home","No","No","4d_1s",24.9,17.67,3,75,"Premier League",0.85,1.97368421052632
"AFC Bournemouth","4-2-3-1",565,"Away","No","No","4d_1s",24.4,6.11,15,39,"Premier League",0.25,1.02631578947368
"Southampton FC","3-1-4-2",566,"Home","Yes","Yes","3_5d_2s",24.2,9.13,20,25,"Premier League",0,0.657894736842105
"Nottingham Forest","4-3-1-2",566,"Away","No","Yes","4d_2s",26.1,7.53,16,38,"Premier League",0.2,1
"Leeds United","4-4-2",567,"Home","No","Yes","4d_2s",23.5,7.34,19,31,"Premier League",0.05,0.815789473684211
"West Ham United","4-1-4-1",567,"Away","No","No","4d_1s",24.9,10.59,14,40,"Premier League",0.3,1.05263157894737
"Aston Villa","4-4-2",568,"Home","No","Yes","4d_2s",24.9,11.85,7,61,"Premier League",0.65,1.60526315789474
"Wolverhampton Wanderers","4-2-3-1",568,"Away","No","No","4d_1s",25.3,11.57,13,41,"Premier League",0.35,1.07894736842105
"Crystal Palace","4-2-3-1",569,"Home","No","No","4d_1s",24.9,8.28,11,45,"Premier League",0.45,1.18421052631579
"Tottenham Hotspur","3-4-3",569,"Away","Yes","No","3_5d_1s",25.4,19.09,8,60,"Premier League",0.6,1.57894736842105
"Chelsea FC","4-2-3-1",570,"Home","No","No","4d_1s",24.7,23.14,12,44,"Premier League",0.4,1.15789473684211
"Manchester City","3-5-2",570,"Away","Yes","Yes","3_5d_2s",25.5,33.7,1,89,"Premier League",0.95,2.34210526315789
"Aston Villa","4-2-3-1",571,"Home","No","No","4d_1s",24.9,11.85,7,61,"Premier League",0.65,1.60526315789474
"Leeds United","4-2-3-1",571,"Away","No","No","4d_1s",23.5,7.34,19,31,"Premier League",0.05,0.815789473684211
"Manchester United","4-2-3-1",572,"Home","No","No","4d_1s",24.9,17.67,3,75,"Premier League",0.85,1.97368421052632
"Manchester City","4-3-3",572,"Away","No","No","4d_1s",25.5,33.7,1,89,"Premier League",0.95,2.34210526315789
"Brighton & Hove Albion","4-2-3-1",573,"Home","No","No","4d_1s",23.6,12.61,6,62,"Premier League",0.7,1.63157894736842
"Liverpool FC","4-3-3",573,"Away","No","No","4d_1s",25.1,20.82,5,67,"Premier League",0.75,1.76315789473684
"Wolverhampton Wanderers","4-3-3",574,"Home","No","No","4d_1s",25.3,11.57,13,41,"Premier League",0.35,1.07894736842105
"West Ham United","4-3-3",574,"Away","No","No","4d_1s",24.9,10.59,14,40,"Premier League",0.3,1.05263157894737
"Nottingham Forest","4-3-1-2",575,"Home","No","Yes","4d_2s",26.1,7.53,16,38,"Premier League",0.2,1
"Leicester City","4-2-3-1",575,"Away","No","No","4d_1s",25.9,12.92,18,34,"Premier League",0.1,0.894736842105263
"Everton FC","3-5-2",576,"Home","Yes","Yes","3_5d_2s",26.3,10.33,17,36,"Premier League",0.15,0.947368421052632
"Southampton FC","3-4-1-2",576,"Away","Yes","Yes","3_5d_2s",24.2,9.13,20,25,"Premier League",0,0.657894736842105
"Brentford FC","4-1-4-1",577,"Home","No","No","4d_1s",24.8,10.31,9,59,"Premier League",0.55,1.55263157894737
"AFC Bournemouth","4-4-1-1",577,"Away","No","No","4d_1s",24.4,6.11,15,39,"Premier League",0.25,1.02631578947368
"Chelsea FC","4-2-3-1",578,"Home","No","No","4d_1s",24.7,23.14,12,44,"Premier League",0.4,1.15789473684211
"Crystal Palace","4-4-2",578,"Away","No","Yes","4d_2s",24.9,8.28,11,45,"Premier League",0.45,1.18421052631579
"Newcastle United","4-3-3",579,"Home","No","No","4d_1s",27.8,14.25,4,71,"Premier League",0.8,1.86842105263158
"Fulham FC","4-2-3-1",579,"Away","No","No","4d_1s",25.3,6.28,10,52,"Premier League",0.5,1.36842105263158
"Tottenham Hotspur","3-4-3",580,"Home","Yes","No","3_5d_1s",25.4,19.09,8,60,"Premier League",0.6,1.57894736842105
"Arsenal FC","4-3-3",580,"Away","No","No","4d_1s",23.5,23.83,2,84,"Premier League",0.9,2.21052631578947
"Liverpool FC","4-3-3",581,"Home","No","No","4d_1s",25.1,20.82,5,67,"Premier League",0.75,1.76315789473684
"Chelsea FC","4-1-4-1",581,"Away","No","No","4d_1s",24.7,23.14,12,44,"Premier League",0.4,1.15789473684211
"AFC Bournemouth","4-2-3-1",582,"Home","No","No","4d_1s",24.4,6.11,15,39,"Premier League",0.25,1.02631578947368
"Nottingham Forest","4-3-1-2",582,"Away","No","Yes","4d_2s",26.1,7.53,16,38,"Premier League",0.2,1
"West Ham United","5-4-1",583,"Home","Yes","No","3_5d_1s",24.9,10.59,14,40,"Premier League",0.3,1.05263157894737
"Everton FC","5-4-1",583,"Away","Yes","No","3_5d_1s",26.3,10.33,17,36,"Premier League",0.15,0.947368421052632
"Southampton FC","4-2-3-1",584,"Home","No","No","4d_1s",24.2,9.13,20,25,"Premier League",0,0.657894736842105
"Aston Villa","4-4-2",584,"Away","No","Yes","4d_2s",24.9,11.85,7,61,"Premier League",0.65,1.60526315789474
"Leicester City","4-4-2",585,"Home","No","Yes","4d_2s",25.9,12.92,18,34,"Premier League",0.1,0.894736842105263
"Brighton & Hove Albion","4-2-3-1",585,"Away","No","No","4d_1s",23.6,12.61,6,62,"Premier League",0.7,1.63157894736842
"Crystal Palace","4-2-3-1",586,"Home","No","No","4d_1s",24.9,8.28,11,45,"Premier League",0.45,1.18421052631579
"Newcastle United","4-3-3",586,"Away","No","No","4d_1s",27.8,14.25,4,71,"Premier League",0.8,1.86842105263158
"Manchester City","3-4-2-1",587,"Home","Yes","No","3_5d_1s",25.5,33.7,1,89,"Premier League",0.95,2.34210526315789
"Wolverhampton Wanderers","4-3-3",587,"Away","No","No","4d_1s",25.3,11.57,13,41,"Premier League",0.35,1.07894736842105
