"Team","System_Team","Match_Number","Home_Away","Three_Or_Five_Def","Two_Strikers","Classification","Age","Mean_Value","Rank","Points","League","Rank_bis","Points_bis"
"1.FSV Mainz 05","3-4-2-1",1423,"Away","Yes","No","3_5d_1s",24.7,3.99,9,46,"Bundesliga",0.5,1.35294117647059
"VfL Wolfsburg","3-1-4-2",1424,"Home","Yes","Yes","3_5d_2s",24.7,7.22,8,49,"Bundesliga",0.555555555555556,1.44117647058824
"TSG 1899 Hoffenheim","3-5-2",1424,"Away","Yes","Yes","3_5d_2s",25.8,4.83,12,36,"Bundesliga",0.333333333333333,1.05882352941176
"VfL Bochum","4-3-3",1425,"Home","No","No","4d_1s",27.7,1.68,14,35,"Bundesliga",0.222222222222222,1.02941176470588
"FC Augsburg","3-4-3",1425,"Away","Yes","No","3_5d_1s",25,3.15,15,34,"Bundesliga",0.166666666666667,1
"Borussia Dortmund","4-3-3",1426,"Home","No","No","4d_1s",24.6,15.34,2,71,"Bundesliga",0.888888888888889,2.08823529411765
"Borussia Mönchengladbach","4-2-3-1",1426,"Away","No","No","4d_1s",25.4,6.91,10,43,"Bundesliga",0.444444444444444,1.26470588235294
"VfB Stuttgart","3-4-2-1",1427,"Home","Yes","No","3_5d_1s",23.2,3.87,16,33,"Bundesliga",0.111111111111111,0.970588235294118
"Bayer 04 Leverkusen","3-4-3",1427,"Away","Yes","No","3_5d_1s",24.2,12.93,6,50,"Bundesliga",0.666666666666667,1.47058823529412
"RB Leipzig","4-4-2",1428,"Home","No","Yes","4d_2s",25.6,16.77,3,66,"Bundesliga",0.833333333333333,1.94117647058824
"SV Werder Bremen","3-5-2",1428,"Away","Yes","Yes","3_5d_2s",24.7,2.71,13,36,"Bundesliga",0.277777777777778,1.05882352941176
"SC Freiburg","3-4-3",1429,"Home","Yes","No","3_5d_1s",26,6.93,5,59,"Bundesliga",0.722222222222222,1.73529411764706
"VfL Wolfsburg","3-1-4-2",1429,"Away","Yes","Yes","3_5d_2s",24.7,7.22,8,49,"Bundesliga",0.555555555555556,1.44117647058824
"TSG 1899 Hoffenheim","3-1-4-2",1430,"Home","Yes","Yes","3_5d_2s",25.8,4.83,12,36,"Bundesliga",0.333333333333333,1.05882352941176
"1.FC Union Berlin","3-5-2",1430,"Away","Yes","Yes","3_5d_2s",26.9,4.39,4,62,"Bundesliga",0.777777777777778,1.82352941176471
"Hertha BSC","4-2-3-1",1431,"Home","No","No","4d_1s",25.4,2.29,18,29,"Bundesliga",0,0.852941176470588
"VfL Bochum","4-3-3",1431,"Away","No","No","4d_1s",27.7,1.68,14,35,"Bundesliga",0.222222222222222,1.02941176470588
"FC Schalke 04","4-2-3-1",1432,"Home","No","No","4d_1s",26.4,2.04,17,31,"Bundesliga",0.0555555555555556,0.911764705882353
"Eintracht Frankfurt","3-4-2-1",1432,"Away","Yes","No","3_5d_1s",25,9.02,7,50,"Bundesliga",0.611111111111111,1.47058823529412
"SV Werder Bremen","3-1-4-2",1433,"Home","Yes","Yes","3_5d_2s",24.7,2.71,13,36,"Bundesliga",0.277777777777778,1.05882352941176
"1.FC Köln","4-2-3-1",1433,"Away","No","No","4d_1s",24.9,2.97,11,42,"Bundesliga",0.388888888888889,1.23529411764706
"Bayern Munich","4-2-3-1",1434,"Home","No","No","4d_1s",25.3,27.11,1,71,"Bundesliga",0.944444444444444,2.08823529411765
"RB Leipzig","4-4-2",1434,"Away","No","Yes","4d_2s",25.6,16.77,3,66,"Bundesliga",0.833333333333333,1.94117647058824
